,name,score,coordinate
0,1837_,0.9349287060939335,"[[35.23825013999151, 31.770776473406208], [35.241314146646594, 31.782211501917722], [35.22331697148041, 31.774777803849194], [35.226380978135495, 31.786212832360707]]"
1,1841_2_,0.9452347610504558,"[[35.23877786287686, 31.771212385525907], [35.23985001758214, 31.783467169884], [35.223853677039834, 31.772518082599], [35.22492583174512, 31.78477286695709]]"
2,1841_,0.9411924816483273,"[[35.2392226142492, 31.772947629968183], [35.23816265698083, 31.78506299698432], [35.225820245739705, 31.771775074659207], [35.22476028847134, 31.78389044167534]]"
3,1842_,0.942263700782716,"[[35.238671330273405, 31.771568101573195], [35.239761040728254, 31.784023549066973], [35.22389962653944, 31.772860458190877], [35.22498933699429, 31.78531590568466]]"
4,1843_,0.9262363191253156,"[[35.237465422371976, 31.771114504159105], [35.24039946055813, 31.782064483741177], [35.223287407767884, 31.774913491722547], [35.22622144595404, 31.785863471304623]]"
5,1845_2_,0.9392220144906749,"[[35.239337179350926, 31.7712636235028], [35.24043718223037, 31.783836713948116], [35.22393605548449, 31.77261104724667], [35.22503605836394, 31.785184137691985]]"
6,1845_,0.9399951071596158,"[[35.238312384956636, 31.77214107090662], [35.23931745770626, 31.783629105002824], [35.22412067449812, 31.773382684687782], [35.22512574724773, 31.784870718783985]]"
7,1846_2_,0.9434508985934236,"[[35.23824883156582, 31.77122866648911], [35.24034163208403, 31.78309752802013], [35.22334135210086, 31.773857257333145], [35.22543415261907, 31.785726118864158]]"
8,1846_3_,0.9705114156299035,"[[35.23947413996653, 31.771774183461723], [35.23947413996653, 31.784638306944483], [35.22433668860167, 31.771774183461723], [35.22433668860167, 31.784638306944483]]"
9,1846_,0.9313624483186369,"[[35.238729429506755, 31.769982796499527], [35.24199601511424, 31.78217385995395], [35.222776642093045, 31.774257333004055], [35.226043227700536, 31.78644839645848]]"
10,1849_,0.9351024915455726,"[[35.23895953386808, 31.771448125935706], [35.24001949113645, 31.78356349295184], [35.22372074068799, 31.77278134758478], [35.224780697956355, 31.78489671460091]]"
11,1852_2_,0.9377049823069887,"[[35.241442209891154, 31.77051875201002], [35.240053681666275, 31.786389702244268], [35.22440797716112, 31.769028449754277], [35.223019448936235, 31.784899399988525]]"
12,1852_3_,0.9370312070559794,"[[35.24165527706287, 31.770443737492982], [35.240232830591275, 31.786702375061196], [35.22355473868463, 31.76886014558117], [35.22213229221303, 31.785118783149386]]"
13,1852_,0.9450170614915816,"[[35.23900745193266, 31.772668381773194], [35.23795705459455, 31.784674478286362], [35.22596771797133, 31.771527552876183], [35.22491732063323, 31.78353364938935]]"
14,1853_2_,0.9451714709992536,"[[35.23780562756946, 31.772013216618213], [35.23880210076614, 31.78340295737456], [35.22427785678151, 31.773196743204934], [35.22527432997819, 31.78458648396128]]"
15,1853_3_,0.9391088713597189,"[[35.24026373599596, 31.771850840274865], [35.23903619655077, 31.785881680337027], [35.22486261212952, 31.770503416530993], [35.22363507268434, 31.784534256593155]]"
16,1853_,0.9456305624925472,"[[35.23925178021449, 31.77115139375468], [35.24040630616108, 31.784347685709054], [35.22351539378769, 31.772528149171887], [35.22466991973428, 31.785724441126263]]"
17,1854_,0.9336798321993421,"[[35.239645800526695, 31.771537057849077], [35.24074580340615, 31.78411014829439], [35.223378228060184, 31.772960286022983], [35.22447823093963, 31.785533376468297]]"
18,1855_,0.9380339189441083,"[[35.23967412371463, 31.772493350829592], [35.23861416644626, 31.784608717845725], [35.224594274922325, 31.77117403501258], [35.22353431765396, 31.783289402028714]]"
19,1856_2_,0.9022920603592994,"[[35.2384711994491, 31.772800813338744], [35.237439413802484, 31.784594177244813], [35.226205829328535, 31.771727732499244], [35.22517404368192, 31.783521096405316]]"
20,1856_3_,0.9392100493002135,"[[35.240900846146026, 31.77160903344836], [35.23963322378018, 31.786098023390103], [35.224064974204694, 31.77013608551292], [35.22279735183885, 31.784625075454663]]"
21,1856_,0.9333017290627943,"[[35.241063911290674, 31.769253137968036], [35.24246919400394, 31.785315592880828], [35.221493278424866, 31.770965346481823], [35.22289856113813, 31.787027801394615]]"
22,1858_2_,0.9747540872847311,"[[35.24120732103144, 31.770645420113624], [35.24120732103144, 31.785680703677862], [35.223481481036245, 31.770645420113624], [35.223481481036245, 31.785680703677862]]"
23,1859_,0.9721739181024387,"[[35.23875600500298, 31.772071299573792], [35.23875600500298, 31.784330573213897], [35.22478437420052, 31.772071299573792], [35.22478437420052, 31.784330573213897]]"
24,186-_,0.9734216879184203,"[[35.23975971796511, 31.770767265692985], [35.23975971796511, 31.785001735219183], [35.22378939444812, 31.770767265692985], [35.22378939444812, 31.785001735219183]]"
25,1860_2_,0.9472925108251387,"[[35.240713536779324, 31.771490344452953], [35.23944591441348, 31.785979334394696], [35.22426084257777, 31.77005092022586], [35.222993220211926, 31.784539910167602]]"
26,1860_,0.9758541101187588,"[[35.240306610774375, 31.771035669188677], [35.240306610774375, 31.78497320062828], [35.22360096300912, 31.771035669188677], [35.22360096300912, 31.78497320062828]]"
27,1861_,0.8798741531675466,"[[35.23983736016052, 31.767396835235452], [35.241352323475795, 31.78471294516583], [35.22260003672729, 31.768904905625387], [35.22411500004257, 31.786221015555764]]"
28,1864_,0.9797096421231324,"[[35.24031595777602, 31.770838509284207], [35.24031595777602, 31.785072978810405], [35.223415775538975, 31.770838509284207], [35.223415775538975, 31.785072978810405]]"
29,1865_,0.9821837434588977,"[[35.23792368427876, 31.772680169594185], [35.23792368427876, 31.783644360993335], [35.22517898044029, 31.772680169594185], [35.22517898044029, 31.783644360993335]]"
30,1867_,0.9309823897860557,"[[35.23949818585435, 31.77182514918378], [35.23836610512665, 31.78476489111231], [35.225165789294635, 31.770571226963646], [35.224033708566935, 31.783510968892177]]"
31,1869_,0.9419685792845605,"[[35.244379711434526, 31.76912197083206], [35.24268878141838, 31.788449389356888], [35.22209407747751, 31.76717223050133], [35.22040314746136, 31.78649964902616]]"
32,1870_,0.9338404997767495,"[[35.24678965034426, 31.765189002847553], [35.24880196662697, 31.788189883208634], [35.21891918281729, 31.76762735280333], [35.2209314991, 31.790628233164412]]"
33,1874_2_,0.9781745615457387,"[[35.23919671034204, 31.771147935904132], [35.23919671034204, 31.78452726833739], [35.223899707447636, 31.771147935904132], [35.223899707447636, 31.78452726833739]]"
34,1874_,0.9820718584141281,"[[35.23853431081833, 31.772563680146778], [35.23853431081833, 31.78409559666692], [35.22508074743844, 31.772563680146778], [35.22508074743844, 31.78409559666692]]"
35,1875_,0.975729307987609,"[[35.23961165165606, 31.7710223727565], [35.23961165165606, 31.784537020814874], [35.22415169799847, 31.7710223727565], [35.22415169799847, 31.784537020814874]]"
36,1876_2_,0.9285708292912498,"[[35.24046179166129, 31.770594439980716], [35.24046179166129, 31.7851387755102], [35.22315862445287, 31.770594439980716], [35.22315862445287, 31.7851387755102]]"
37,1876_3_,0.9687603745889499,"[[35.23841649399088, 31.772663019449066], [35.23841649399088, 31.78390390968479], [35.22483704931621, 31.772663019449066], [35.22483704931621, 31.78390390968479]]"
38,1876_4_,0.9808029772521121,"[[35.23843013844108, 31.772334383793908], [35.23843013844108, 31.784386341645288], [35.22432269591757, 31.772334383793908], [35.22432269591757, 31.784386341645288]]"
39,1876_5_,0.9783897438442712,"[[35.23842035020893, 31.772414535348855], [35.23842035020893, 31.783847783064548], [35.22444871940647, 31.772414535348855], [35.22444871940647, 31.783847783064548]]"
40,1876_6_,0.976847203903386,"[[35.23890756161738, 31.772015506245378], [35.23890756161738, 31.78440262862565], [35.224376366126954, 31.772015506245378], [35.224376366126954, 31.78440262862565]]"
41,1876_7_,0.8114012413851415,"[[35.23811520693603, 31.758604890923078], [35.240360273053845, 31.784266114072913], [35.217424251616364, 31.76041511495107], [35.21966931773418, 31.786076338100905]]"
42,1876_,0.8720529064259432,"[[35.24207116198626, 31.7676748172383], [35.24207116198626, 31.78892747452294], [35.21970040052797, 31.7676748172383], [35.21970040052797, 31.78892747452294]]"
43,1877_2_,0.8697074586908469,"[[35.238342036420185, 31.772544549357065], [35.23716415723068, 31.786007770099395], [35.22553334979372, 31.771423934482595], [35.22435547060422, 31.784887155224922]]"
44,1877_,0.9562918765575219,"[[35.23893608217997, 31.7711031536713], [35.240057264416905, 31.783918325280425], [35.223534958313536, 31.772450577415174], [35.22465614055047, 31.785265749024298]]"
45,1878_,0.964533033199968,"[[35.24704256224729, 31.7656316387465], [35.24704256224729, 31.789546821328543], [35.21851571901178, 31.7656316387465], [35.21851571901178, 31.789546821328543]]"
46,1880_2_,0.9752541334015121,"[[35.23881944833583, 31.772232200580188], [35.23881944833583, 31.784735225859926], [35.2245735278489, 31.772232200580188], [35.2245735278489, 31.784735225859926]]"
47,1880_3_,0.7683120987179585,"[[35.241489367107555, 31.766530795881373], [35.24343446614491, 31.78876337961244], [35.21734271987646, 31.768643353776252], [35.21928781891382, 31.79087593750732]]"
48,1880_,0.9660784360569621,"[[35.238221413023034, 31.77256484773345], [35.238221413023034, 31.783711966204955], [35.22501273816882, 31.77256484773345], [35.22501273816882, 31.783711966204955]]"
49,1881_,0.9837678917759635,"[[35.2388964446162, 31.772186942332553], [35.2388964446162, 31.784460290913692], [35.224650524129274, 31.772186942332553], [35.224650524129274, 31.784460290913692]]"
50,1882_2_,0.9804734176443739,"[[35.23870536689049, 31.77205239726939], [35.23870536689049, 31.78410435512077], [35.22445944640356, 31.77205239726939], [35.22445944640356, 31.78410435512077]]"
51,1883_,0.978746535327859,"[[35.23890166175547, 31.772180470828516], [35.23890166175547, 31.78434211657843], [35.22465574126854, 31.772180470828516], [35.22465574126854, 31.78434211657843]]"
52,1885_,0.95910922066439,"[[35.23962643552955, 31.77090429704651], [35.23962643552955, 31.784150996692325], [35.22432943263515, 31.77090429704651], [35.22432943263515, 31.784150996692325]]"
53,1886_,0.9673266016320241,"[[35.24320081088274, 31.767868425631878], [35.24320081088274, 31.78755550963588], [35.22011845462657, 31.767868425631878], [35.22011845462657, 31.78755550963588]]"
54,1887_3_,0.9234144129459334,"[[35.23840720762525, 31.772737899958138], [35.2373072047458, 31.785310990403453], [35.22644625206817, 31.771691451941958], [35.22534624918872, 31.784264542387273]]"
55,1887_,0.9797954528633768,"[[35.23868304891257, 31.772056555857137], [35.23868304891257, 31.78421820160705], [35.224295904926386, 31.772056555857137], [35.224295904926386, 31.78421820160705]]"
56,1888_,0.968523116037922,"[[35.238776612017375, 31.771798529551276], [35.238776612017375, 31.78467815197799], [35.22363916065251, 31.771798529551276], [35.22363916065251, 31.78467815197799]]"
57,189-_,0.9729924444529507,"[[35.23818668017738, 31.77236925330821], [35.23818668017738, 31.78410370623266], [35.22447897628499, 31.77236925330821], [35.22447897628499, 31.78410370623266]]"
58,1890_,0.9770928343714429,"[[35.23872074248842, 31.772352407983885], [35.23872074248842, 31.784190820624165], [35.22474911168595, 31.772352407983885], [35.22474911168595, 31.784190820624165]]"
59,1891_,0.9795120005040017,"[[35.239503937007875, 31.771293103448276], [35.239503937007875, 31.78494583220201], [35.22387752355316, 31.771293103448276], [35.22387752355316, 31.78494583220201]]"
60,1893_2_,0.976914840226141,"[[35.23892210735861, 31.77195022012891], [35.23892210735861, 31.784223568710054], [35.224390911868184, 31.77195022012891], [35.224390911868184, 31.784223568710054]]"
61,1893_,0.976782297678563,"[[35.23921469782053, 31.77171801360492], [35.23921469782053, 31.78470718324547], [35.224077246455664, 31.77171801360492], [35.224077246455664, 31.78470718324547]]"
62,1894_2_,0.975684078418859,"[[35.23920929049981, 31.77127100957176], [35.23920929049981, 31.784517709217575], [35.22374933684222, 31.77127100957176], [35.22374933684222, 31.784517709217575]]"
63,1894_,0.9782815888068854,"[[35.238153442132585, 31.772753036588092], [35.238153442132585, 31.783993926823815], [35.2251809000132, 31.772753036588092], [35.2251809000132, 31.783993926823815]]"
64,1895_2_,0.9767876829788305,"[[35.23901052606154, 31.77196307543468], [35.23901052606154, 31.784124721184593], [35.22476460557461, 31.77196307543468], [35.22476460557461, 31.784124721184593]]"
65,1895_3_,0.9396853527115556,"[[35.248237501469035, 31.765409388404453], [35.248237501469035, 31.792749763376765], [35.21357951580679, 31.765409388404453], [35.21357951580679, 31.792749763376765]]"
66,1895_,0.9649292025426771,"[[35.238600823603946, 31.772029307850048], [35.238600823603946, 31.784081265701424], [35.22377269436148, 31.772029307850048], [35.22377269436148, 31.784081265701424]]"
67,1896_,0.9565827092593056,"[[35.2384907482596, 31.772176754089088], [35.2384907482596, 31.783809057260115], [35.2250371848797, 31.772176754089088], [35.2250371848797, 31.783809057260115]]"
68,1900_2_,0.9842059931502606,"[[35.238140575375006, 31.7727994958364], [35.238140575375006, 31.78378622411407], [35.22516803325562, 31.7727994958364], [35.22516803325562, 31.78378622411407]]"
69,1900_,0.9795001944968218,"[[35.238283340240365, 31.772399280015904], [35.238283340240365, 31.78413373294035], [35.22470389556569, 31.772399280015904], [35.22470389556569, 31.78413373294035]]"
70,1901_,0.9762205135551427,"[[35.23881944833583, 31.772048505202633], [35.23881944833583, 31.784321853783776], [35.2245735278489, 31.772048505202633], [35.2245735278489, 31.784321853783776]]"
71,1902_,0.9769061338458349,"[[35.239026358926324, 31.772334383793908], [35.239026358926324, 31.784386341645288], [35.22463921494014, 31.772334383793908], [35.22463921494014, 31.784386341645288]]"
72,1903_,0.9757804048052559,"[[35.239251606480224, 31.77169687881975], [35.239251606480224, 31.78456100230251], [35.224423477237764, 31.77169687881975], [35.224423477237764, 31.78456100230251]]"
73,1904_,0.9759066981965081,"[[35.23858088632423, 31.772263524391853], [35.23858088632423, 31.784207755245678], [35.22460925552176, 31.772263524391853], [35.22460925552176, 31.784207755245678]]"
74,1905_,0.9740143676730629,"[[35.23803644062531, 31.772733883510163], [35.23803644062531, 31.78378878176681], [35.224946896998645, 31.772733883510163], [35.224946896998645, 31.78378878176681]]"
75,1906_2_,0.964325540074215,"[[35.24216515712817, 31.769266244211234], [35.24216515712817, 31.786877589539362], [35.221395165720566, 31.769266244211234], [35.221395165720566, 31.786877589539362]]"
76,1906_,0.9771333847607231,"[[35.23883262741977, 31.77234721770114], [35.23883262741977, 31.784291448554963], [35.2248609966173, 31.77234721770114], [35.2248609966173, 31.784291448554963]]"
77,1907_2_,0.977076720101379,"[[35.23828493801207, 31.77238372563055], [35.23828493801207, 31.783816973346244], [35.22444652895742, 31.77238372563055], [35.22444652895742, 31.783816973346244]]"
78,1907_3_,0.9791613317613367,"[[35.23879593419782, 31.77195351528246], [35.23879593419782, 31.7842268638636], [35.22440879021163, 31.77195351528246], [35.22440879021163, 31.7842268638636]]"
79,1907_,0.9745417217813683,"[[35.23883262741977, 31.772367390474866], [35.23883262741977, 31.78414061361823], [35.2248609966173, 31.772367390474866], [35.2248609966173, 31.78414061361823]]"
80,1912_2_,0.9716157871893252,"[[35.244595277234396, 31.767796754903646], [35.244595277234396, 31.789049412188287], [35.22035639373367, 31.767796754903646], [35.22035639373367, 31.789049412188287]]"
81,1912_,0.9140924294185646,"[[35.23773790524788, 31.772201681611563], [35.23773790524788, 31.78344257184729], [35.22476536312849, 31.772201681611563], [35.22476536312849, 31.78344257184729]]"
82,1915_,0.9719117259890481,"[[35.23851229475155, 31.772374161404468], [35.23851229475155, 31.784006464575498], [35.225303619897346, 31.772374161404468], [35.225303619897346, 31.784006464575498]]"
83,1917_2_,0.9784765264289739,"[[35.23862087125473, 31.772497425308234], [35.23862087125473, 31.78412972847926], [35.224913167362345, 31.772497425308234], [35.224913167362345, 31.78412972847926]]"
84,1917_3_,0.9603264086286833,"[[35.24241479966938, 31.76924377709647], [35.24241479966938, 31.787580117772585], [35.221032801148475, 31.76924377709647], [35.221032801148475, 31.787580117772585]]"
85,1917_4_,0.979487723451568,"[[35.23842657457505, 31.772475283169815], [35.23842657457505, 31.78390853088551], [35.224973011195154, 31.772475283169815], [35.224973011195154, 31.78390853088551]]"
86,1917_,0.980538620819736,"[[35.23865608346648, 31.77212515726037], [35.23865608346648, 31.784069388114194], [35.22454864094297, 31.77212515726037], [35.22454864094297, 31.784069388114194]]"
87,1918_,0.9715783533203601,"[[35.23860015690627, 31.771922643841872], [35.23860015690627, 31.784084289591785], [35.224492714382755, 31.771922643841872], [35.224492714382755, 31.784084289591785]]"
88,1920_2_,0.9767986099957502,"[[35.239222398638226, 31.77246542002354], [35.239222398638226, 31.784852542403808], [35.2245442378331, 31.77246542002354], [35.2245442378331, 31.784852542403808]]"
89,1920_3_,0.9768471392621038,"[[35.23927730251461, 31.77204593488686], [35.23927730251461, 31.7847873968823], [35.22429610871222, 31.77204593488686], [35.22429610871222, 31.7847873968823]]"
90,1920_,0.9496013829983048,"[[35.23872074248842, 31.77226945614356], [35.23872074248842, 31.784107868783842], [35.22474911168595, 31.77226945614356], [35.22474911168595, 31.784107868783842]]"
91,1921_2_,0.9782817953241372,"[[35.239114036068074, 31.77202344076825], [35.239114036068074, 31.78464455837648], [35.22413284226569, 31.77202344076825], [35.22413284226569, 31.78464455837648]]"
92,1921_,0.9770400055424426,"[[35.239028961897006, 31.771810699839516], [35.239028961897006, 31.784552161834956], [35.22420083265454, 31.771810699839516], [35.22420083265454, 31.784552161834956]]"
93,1922_2_,0.9810396017481594,"[[35.23864412007163, 31.77222283987757], [35.23864412007163, 31.78406125251785], [35.22467248926917, 31.77222283987757], [35.22467248926917, 31.78406125251785]]"
94,1922_4_,0.9669655792234128,"[[35.241211811023625, 31.769986878643984], [35.241211811023625, 31.786307621566387], [35.22233307086614, 31.769986878643984], [35.22233307086614, 31.786307621566387]]"
95,1922_,0.9565322250989069,"[[35.24432344688016, 31.767146561575426], [35.24432344688016, 31.788399218860068], [35.21924693457594, 31.767146561575426], [35.21924693457594, 31.788399218860068]]"
96,1923_4_,0.9658173420163834,"[[35.23814713401806, 31.77230605956864], [35.23814713401806, 31.783642312605938], [35.225057590391394, 31.77230605956864], [35.225057590391394, 31.783642312605938]]"
97,1923_,0.9577668727145843,"[[35.24344838940587, 31.767972705865038], [35.24344838940587, 31.7879541761719], [35.21999298496779, 31.767972705865038], [35.21999298496779, 31.7879541761719]]"
98,1924_2_,0.952514971405639,"[[35.23921469782053, 31.77169532827913], [35.23921469782053, 31.78494202792495], [35.224077246455664, 31.77169532827913], [35.224077246455664, 31.78494202792495]]"
99,1924_3_,0.9695228473087908,"[[35.238710692084545, 31.772677509364726], [35.238710692084545, 31.78420942588487], [35.22513124740986, 31.772677509364726], [35.22513124740986, 31.78420942588487]]"
100,1924_,0.97761763564494,"[[35.24067820520527, 31.770778947137863], [35.24067820520527, 31.785646939647147], [35.22295236521008, 31.770778947137863], [35.22295236521008, 31.785646939647147]]"
101,1925_2_,0.9724125942808579,"[[35.23816753952975, 31.77239164596404], [35.23816753952975, 31.783824893679732], [35.22471397614986, 31.77239164596404], [35.22471397614986, 31.783824893679732]]"
102,1925_3_,0.9690040691821856,"[[35.238221413023034, 31.772638033249553], [35.238221413023034, 31.783974286286853], [35.22501273816882, 31.772638033249553], [35.22501273816882, 31.783974286286853]]"
103,1926_,0.9789529333235918,"[[35.23837421188087, 31.77203621956842], [35.23837421188087, 31.78430956814956], [35.22426676935736, 31.77203621956842], [35.22426676935736, 31.78430956814956]]"
104,1929_,0.9435382275843901,"[[35.238423126644186, 31.772378984787093], [35.238423126644186, 31.783910901307237], [35.22509313215871, 31.772378984787093], [35.22509313215871, 31.783910901307237]]"
105,1931_,0.9610922377934853,"[[35.23837422026792, 31.772298387166476], [35.23837422026792, 31.784032840090926], [35.224666516375535, 31.772298387166476], [35.224666516375535, 31.784032840090926]]"
106,1936_2_,0.9553306431755225,"[[35.238140575375006, 31.7724340398505], [35.238140575375006, 31.78348893810714], [35.22516803325562, 31.7724340398505], [35.22516803325562, 31.78348893810714]]"
107,1937_,0.9800269404914377,"[[35.23831883833177, 31.772467312981416], [35.23831883833177, 31.784099616152442], [35.224865274951874, 31.772467312981416], [35.224865274951874, 31.784099616152442]]"
